id,emoji,description,ocurrences
1208,🏎️,racing car,7
1208,👉,backhand index pointing right,1
1208,🇪🇸,flag: Spain,2
1208,👈,backhand index pointing left,1
1210,😁,beaming face with smiling eyes,1
1212,❤️,red heart,3
1213,😎,smiling face with sunglasses,1
1213,🇲🇾,flag: Malaysia,1
1213,🇧🇷,flag: Brazil,1
1213,👸,princess,1
1213,👉,backhand index pointing right,2
1214,♟️,chess pawn,1
1214,☕,hot beverage,1
1215,🤔,thinking face,1
1215,💭,thought balloon,1
1215,🧐,face with monocle,1
1215,♟️,chess pawn,1
1218,🥳,partying face,1
1219,👇,backhand index pointing down,2
1219,🙂,slightly smiling face,1
1219,🔔,bell,2
1219,👉,backhand index pointing right,1
1220,💫,dizzy,1
1220,❤️,red heart,1
1221,🥇,1st place medal,1
1221,♟️,chess pawn,1
1222,🌱,seedling,1
1222,🧩,puzzle piece,1
1222,✅,check mark button,1
1222,🌻,sunflower,1
1222,🗝️,old key,1
1222,🌎,globe showing Americas,1
1222,💯,hundred points,1
1222,👇,backhand index pointing down,3
1222,✌️,victory hand,1
1222,🌞,sun with face,1
1223,♟️,chess pawn,1
1223,🌸,cherry blossom,1
1223,☕,hot beverage,1
1223,🌞,sun with face,1
1225,👇,backhand index pointing down,1
1225,‼️,double exclamation mark,1
1225,♟️,chess pawn,1
1225,🧩,puzzle piece,1
1227,👸🏻,princess: light skin tone,1
1227,👑,crown,1
1227,♟️,chess pawn,1
1229,😉,winking face,1
1229,❓,red question mark,1
1229,🦾,mechanical arm,1
1229,🔑,key,1
1229,👍,thumbs up,1
1229,💡,light bulb,1
1229,🎁,wrapped gift,1
1229,🧠,brain,1
1229,👉,backhand index pointing right,4
1229,❤️,red heart,1
1229,⌚,watch,1
1229,♟,chess pawn,1
1230,😜,winking face with tongue,1
1230,♟️,chess pawn,1
1231,👇🏻,backhand index pointing down: light skin tone,1
1231,👦🏻,boy: light skin tone,1
1231,📞,telephone receiver,1
1231,✨,sparkles,1
1231,👩🏻,woman: light skin tone,1
1231,🔅,dim button,3
1232,❣️,heart exclamation,2
1232,😘,face blowing a kiss,1
1232,🙏🏻,folded hands: light skin tone,1
1232,♟️,chess pawn,2
1232,🤫,shushing face,1
1232,✍️,writing hand,2
1232,🇲🇨,flag: Monaco,1
1232,📔,notebook with decorative cover,1
1235,🥈,2nd place medal,1
1235,🥉,3rd place medal,1
1235,♟️,chess pawn,1
1235,🏅,sports medal,1
1236,📸,camera with flash,1
1236,☀️,sun,1
1236,♟️,chess pawn,1
1237,🛑,stop sign,7
1237,💗,growing heart,2
1237,🚧,construction,6
1237,💯,hundred points,2
1237,🔥,fire,20
1237,➡,right arrow,1
1237,❤️,red heart,1
1238,💪,flexed biceps,1
1238,♟️,chess pawn,1
1238,☎️,telephone,1
1238,👌,OK hand,1
1238,🏆,trophy,1
1238,🥇,1st place medal,1
1238,🤩,star-struck,1
1238,🇵🇱,flag: Poland,1
1238,👏,clapping hands,1
1240,🚫,prohibited,1
1246,🥇,1st place medal,3
1246,🥈,2nd place medal,1
1249,🌹,rose,1
